Source: IEA World Energy Balances https://www.iea.org/data-and-statistics/data-product/world-energy-statistics-and-balances
This data is released under a CC BY 4.0 licence: https://www.iea.org/terms/creative-commons-cc-licenses

,Primary oil,Oil products,Natural gas,Biofuels and waste,Electricity,"Solar, wind and other renewables",Units
1990,12889,1181939,260080,512,197747,,TJ
1991,33222,1224892,249596,512,211035,,TJ
1992,32626,1365638,316637,338,231073,,TJ
1993,31946,1424022,317644,246,258692,,TJ
1994,59468,1473952,367449,536,268495,,TJ
1995,86990,1406215,366843,437,277574,,TJ
1996,100942,1547671,408775,176,284263,,TJ
1997,98560,1529827,400832,162,298702,,TJ
1998,116681,1599284,445321,187,327999,,TJ
1999,130846,1632884,445039,187,345358,,TJ
2000,108556,2021967,484292,187,356349,,TJ
2001,126465,2130222,412647,187,386172,,TJ
2002,75845,2346979,525325,218,404730,,TJ
2003,55469,2509064,520678,218,448149,,TJ
2004,58191,2678713,596033,218,458751,,TJ
2005,56830,2748842,668546,219,485963,,TJ
2006,38539,2891045,763140,219,523756,,TJ
2007,72442,3069502,832715,250,566870,,TJ
2008,77163,3190331,994820,250,615920,,TJ
2009,209329,3349387,940729,250,661964,,TJ
2010,257312,3635821,1144453,281,729954,,TJ
2011,176234,3816526,1209824,281,757414,,TJ
2012,21481,4106228,1226679,282,895611,,TJ
2013,10719,4113425,1166697,282,956062,,TJ
2014,26501,4420534,1364845,282,1018799,,TJ
2015,10549,4617407,1387239,313,1066370,,TJ
2016,77334,4523809,1145473,313,1072944,,TJ
2017,94415,4577390,988519,313,1081607,0,TJ
2018,116503,4304702,1075410,321,1086668,0,TJ
2019,65692,4425425,1099271,328,1049994,0,TJ
2020,39136,4189814,1064159,330,1059926,0,TJ
2021,37484,4241366,1046098,329,1099239,0,TJ
2022,40290,4362665,1161842,333,1132987,0,TJ
2023,39986,4402288,1055330,338,1145956,0,TJ
